event,location,latitude,longitude,country,season,year,variety_or_method,avg_height_cm,rainfall_mm,avg_temp_c,actual_yield_q_ha,actual_yield_mt_ha,spatial_group
IND_RI_AKO_1979,Akola,20.71,77.05,India,Kharif,1979,irrigation at 40 mm CPE;Treatment:I1,48.2,792.6000000000001,28.58043478260869,30.62,3.0620000000000003,Akola
IND_RI_AKO_1979,Akola,20.71,77.05,India,Kharif,1979,irrigation at 30 mm CPE;Treatment:I2,50.6,792.6000000000001,28.58043478260869,36.13,3.613,Akola
IND_RI_AKO_1979,Akola,20.71,77.05,India,Kharif,1979,irrigation at 20 mm CPE;Treatment:I3,53.1,792.6000000000001,28.58043478260869,38.44,3.844,Akola
IND_RI_AKO_1979,Akola,20.71,77.05,India,Kharif,1979,no puddling;Treatment:D0,49.2,792.6000000000001,28.58043478260869,32.93,3.293,Akola
IND_RI_AKO_1979,Akola,20.71,77.05,India,Kharif,1979,puddling upto 5 cm depth;Treatment:D1,49.8,792.6000000000001,28.58043478260869,33.91,3.391,Akola
IND_RI_AKO_1979,Akola,20.71,77.05,India,Kharif,1979,puddling upto 10 cm depth;Treatment:D2,51.0,792.6000000000001,28.58043478260869,35.6,3.5600000000000005,Akola
IND_RI_AKO_1979,Akola,20.71,77.05,India,Kharif,1979,puddling upto 15 cm depth;Treatment:D3,51.5,792.6000000000001,28.58043478260869,35.73,3.573,Akola
IND_RI_AKO_1979,Akola,20.71,77.05,India,Kharif,1979,puddling upto 20 cm depth;Treatment:D4,51.8,792.6000000000001,28.58043478260869,37.17,3.717000000000001,Akola
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T1,72.42,1097.1,30.334615384615383,39.27,3.927000000000001,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T2,76.25,1097.1,30.334615384615383,39.61,3.961,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T3,72.87,1097.1,30.334615384615383,35.89,3.5890000000000004,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T4,72.62,1097.1,30.334615384615383,31.5,3.1500000000000004,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T5,72.21,1097.1,30.334615384615383,35.63,3.5630000000000006,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T6,72.65,1097.1,30.334615384615383,39.35,3.935000000000001,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T7,73.76,1097.1,30.334615384615383,36.3,3.63,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T8,76.63,1097.1,30.334615384615383,36.85,3.685000000000001,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T9,73.57,1097.1,30.334615384615383,37.03,3.703,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T10,73.61,1097.1,30.334615384615383,31.42,3.1420000000000003,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T11,73.14,1097.1,30.334615384615383,31.42,3.1420000000000003,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T12,73.4,1097.1,30.334615384615383,35.38,3.5380000000000003,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T13,70.94,1097.1,30.334615384615383,37.61,3.761,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T14,72.71,1097.1,30.334615384615383,32.86,3.286,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T15,72.28,1097.1,30.334615384615383,36.79,3.679,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T16,72.99,1097.1,30.334615384615383,33.12,3.312,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T17,72.62,1097.1,30.334615384615383,35.22,3.522,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T18,74.86,1097.1,30.334615384615383,36.81,3.681000000000001,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T19,73.38,1097.1,30.334615384615383,40.51,4.051,Jabalpur
IND_RI_JAB_1986,Jabalpur,23.9,79.5,India,Kharif,1986,Treatment:T20,67.07,1097.1,30.334615384615383,27.74,2.774,Jabalpur
